;0.25 eV;;;0.07 eV;;;0.025 Ev;;
;0 fs;200 fs;425 fs ;0 fs;200 fs;425 fs ;0 fs;200 fs;425 fs 
dentro escalon;4.55E-58;0.002697217;0.000427143;4.55E-58;0.015071186;0.231975706;4.55E-58;0.016379899;0.954768992
dentro barrera;4.55E-58;0.002695757;0.000427674;4.55E-58;0.014853882;0.017028647;4.55E-58;0.015734757;0.09137397
pasando barrera;6.64E-73;2.58E-07;1.87E-07;6.64E-73;0.00024356;0.181369993;6.64E-73;0.000684743;0.85840231
